"Taxon","Genus","Species","FL","GA","DBB_Notes","MPN_Notes"
"Myrmica spatulata","Myrmica","spatulata",0,1,"not important",NA
"Aphaenogaster picea","Aphaenogaster","picea",0,1,"",NA
"Aphaenogaster rudis","Aphaenogaster","rudis",0,1,"",NA
"Pheidole davisi","Pheidole","davisi",0,1,"",NA
"Pheidole pilifera","Pheidole","pilifera",0,1,"",NA
"Pheidole tetra","Pheidole","tetra",0,1,"not important",NA
"Monomorium minimum","Monomorium","minimum",0,1,"",NA
"Solenopsis molesta","Solenopsis","molesta",0,1,"",NA
"Solenopsis richteri","Solenopsis","richteri",0,1,"",NA
"Solenopsis texana","Solenopsis","texana",0,1,"not important",NA
"Solenopsis xyloni","Solenopsis","xyloni",0,1,"",NA
"Stenamma brevicorne","Stenamma","brevicorne",0,1,"",NA
"Stenamma diecki","Stenamma","diecki",0,1,"",NA
"Stenamma impar","Stenamma","impar",0,1,"",NA
"Stenamma meridionale","Stenamma","meridionale",0,1,"",NA
"Stenamma schmittii","Stenamma","schmittii",0,1,"",NA
"Tetramorium immigrans","Tetramorium","immigrans",0,1,"",NA
"Tetramorium tsushimae","Tetramorium","tsushimae",0,1,"",NA
"Brachyponera chinensis","Brachyponera","chinensis",0,1,"common species in litter, would be great to have",NA
"Pheidole bilimeki","Pheidole","bilimeki",0,1,"",NA
"Pheidole navigans","Pheidole","navigans",0,1,"this is moerens, we should check genetic data",NA
"Brachyponera obscurans","Brachyponera","obscurans",0,0,"common species in litter, would be great to have","Alternate for Brachyponera chinensis"
"Eurhopalothrix australis","Eurhopalothrix","australis",0,0,"need representative for genus","Alternate for Eurhopalothrix floridana"
"Leptogenys diminuta","Leptogenys","diminuta",0,0,"not important","Alternate for Leptogenys manni"
"Prionopelta amabilis","Prionopelta","amabilis",0,0,"need representative for genus","Alternate for Prionopelta antillana"
"Colobopsis saundersi","Colobopsis","saundersi",0,0,"need representative for genus","Alternate for Colobopsis impressa"
"Proceratium avium","Proceratium","avium",0,0,"common species in litter, would be great to have","Alternate for Proceratium crassicorne"
