Subfamily,Tribe,Genus,Taxon,nuSSU,nuLSU,AbdA,Wg,LR,COI,EF1aF1,EF1aF2,ArgK,CAD,Top1,Ubx,Family,Species,FL,GA,SpeciesGroup,Binomial,BinomialAuthority,Subspecies,Trinomial,TrinomialAuthority,Author,Year,ChangedComb,TypeLocalityCountry,Images,Text,Source,DBB_Notes,MPN_Notes,NCBI.ID,GB,Order
Aglyptacros,Aglyptacros,Aglyptacros,Aglyptacros_cf_sulcatus,EF012831,EF012959,EF013087,EF013667,EF013539,NA,EF013217,EF013379,NA,NA,NA,NA,Tiphiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_fulva,NA,NA,NA,JX425999,NA,MF925786,JX426027,JX425971,JX425916,JX425945,NA,NA,Formicidae,fulva,1,1,,NA,(Mayr, 1862),Mayr,1862,Yes,Brazil,Present,Present,http://www.antwiki.org/wiki/Nylanderia fulva,NA,NA,NA,,NA,613905,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_parvula,NA,NA,NA,FJ982541,NA,FJ982458,FJ982503,FJ982583,NA,FJ982627,NA,NA,Formicidae,parvula,1,1,,NA,(Mayr, 1870),Mayr,1870,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Nylanderia parvula,NA,NA,NA,,NA,613968,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_phantasma,NA,NA,NA,FJ982544,NA,FJ982461,FJ982506,FJ982586,JN562408,FJ982630,NA,NA,Formicidae,phantasma,1,1,,NA,(Trager, 1984),Trager,1984,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Nylanderia phantasma,NA,NA,NA,,NA,613970,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_pubens,NA,NA,NA,JX425988,NA,NA,JX426029,JX425973,JX425918,JX425947,NA,NA,Formicidae,pubens,1,0,,NA,(Forel, 1893),Forel,1893,Yes,Antilles,Present,Present,http://www.antwiki.org/wiki/Nylanderia pubens,NA,NA,NA,,NA,613973,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_steinheili,NA,NA,NA,JX425994,NA,NA,JX426022,JX425966,JX425911,JX425940,NA,NA,Formicidae,steinheili,1,0,,NA,(Forel, 1893),Forel,1893,Yes,Antilles,Present,,http://www.antwiki.org/wiki/Nylanderia steinheili,NA,NA,NA,,NA,613986,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_vividula,NA,EU417926,NA,FJ982550,NA,FJ982467,FJ982512,FJ982592,JN562411,FJ982635,NA,NA,Formicidae,vividula,1,1,,NA,(Nylander, 1846),Nylander,1846,Yes,Sweden,Present,,http://www.antwiki.org/wiki/Nylanderia vividula,NA,NA,NA,,NA,443831,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_wojciki,NA,NA,NA,FJ982551,NA,FJ982468,FJ982513,FJ982593,NA,FJ982637,NA,NA,Formicidae,wojciki,1,1,,NA,(Trager, 1984),Trager,1984,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Nylanderia wojciki,NA,NA,NA,,NA,614011,1,Hymenoptera
Formicinae,Lasiini,Paratrechina,Paratrechina_longicornis,KT443352,KT443410,KT443468,KP232871,KP232664,FJ982475,FJ982517,KP232614,KT443600,KP231943,KT443680,KT443760,Formicidae,longicornis,1,1,,NA,(Latreille, 1802),Latreille,1802,Yes,Senegal,Present,Present,http://www.antwiki.org/wiki/Paratrechina longicornis,NA,NA,NA,,NA,262035,1,Hymenoptera
Formicinae,Lasiini,Prenolepis,Prenolepis_imparis,EF012919,EF013047,EF013175,FJ982559,EF013627,FJ982479,FJ982518,FJ982601,KT443610,FJ982648,KT443690,KT443770,Formicidae,imparis,1,1,,NA,(Say, 1836),Say,1836,Yes,Mexico,Present,Present,http://www.antwiki.org/wiki/Prenolepis imparis,NA,NA,NA,,NA,262038,1,Hymenoptera
Formicinae,Myrmelachistini,Brachymyrmex,Brachymyrmex_depilis,EF012844,EF012972,EF013100,EF013680,EF013552,KR898675,EF013233,EF013395,KT443552,NA,KT443632,KT443712,Formicidae,depilis,1,1,,NA,Emery, 1893,Emery,1893,,United States,Present,,http://www.antwiki.org/wiki/Brachymyrmex depilis,NA,NA,NA,,NA,354278,1,Hymenoptera
Formicinae,Myrmelachistini,Brachymyrmex,Brachymyrmex_heeri,NA,NA,NA,NA,NA,KC418295,NA,NA,NA,NA,NA,NA,Formicidae,heeri,1,0,,NA,Forel, 1874,Forel,1874,,Switzerland,Present,Present,http://www.antwiki.org/wiki/Brachymyrmex heeri,NA,NA,NA,,NA,604545,1,Hymenoptera
Formicinae,Myrmelachistini,Brachymyrmex,Brachymyrmex_minutus,NA,NA,NA,MK634469,NA,MK634391,MK634412,MK634432,NA,NA,NA,NA,Formicidae,minutus,1,0,,NA,Forel, 1893,Forel,1893,,Antilles,Present,,http://www.antwiki.org/wiki/Brachymyrmex minutus,NA,NA,NA,not important,NA,NA,1,Hymenoptera
