Subfamily,Tribe,Genus,Taxon,nuSSU,nuLSU,AbdA,Wg,LR,COI,EF1aF1,EF1aF2,ArgK,CAD,Top1,Ubx,Family,Species,FL,GA,SpeciesGroup,Binomial,BinomialAuthority,Subspecies,Trinomial,TrinomialAuthority,Author,Year,ChangedComb,TypeLocalityCountry,Images,Text,Source,DBB_Notes,MPN_Notes,NCBI.ID,GB,Order
Aglyptacros,Aglyptacros,Aglyptacros,Aglyptacros_cf_sulcatus,EF012831,EF012959,EF013087,EF013667,EF013539,NA,EF013217,EF013379,NA,NA,NA,NA,Tiphiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Myrmicinae,Solenopsidini,Monomorium,Monomorium_pharaonis,KJ860147,KJ859959,AY850637,MG458936,KJ861419,KJ847499,NA,EU204568,KJ861023,KJ860786,KJ861628,KJ860357,Formicidae,pharaonis,1,1,,NA,(Linnaeus, 1758),Linnaeus,1758,Yes,Egypt,Present,Present,http://www.antwiki.org/wiki/Monomorium pharaonis,NA,NA,NA,Dropped EF1aF1 because was not aligning well EU204326,NA,307658,1,Hymenoptera
Myrmicinae,Solenopsidini,Monomorium,Monomorium_viridum,NA,NA,NA,NA,NA,KY500952,NA,NA,NA,NA,NA,NA,Formicidae,viridum,1,1,,NA,Brown, 1943,Brown,1943,,United States,Present,Present,http://www.antwiki.org/wiki/Monomorium viridum,NA,NA,NA,,NA,2021447,1,Hymenoptera
Myrmicinae,Solenopsidini,Solenopsis,Solenopsis_carolinensis,DQ067097,NA,NA,NA,NA,HM179645,NA,NA,NA,NA,NA,NA,Formicidae,carolinensis,1,1,,NA,Forel, 1901,Forel,1901,,United States,Present,Present,http://www.antwiki.org/wiki/Solenopsis carolinensis,NA,NA,NA,,NA,332062,1,Hymenoptera
Myrmicinae,Solenopsidini,Solenopsis,Solenopsis_geminata,AY334567,NA,NA,NA,NA,AY254489,NA,NA,NA,NA,NA,NA,Formicidae,geminata,1,1,geminata,NA,(Fabricius, 1804),Fabricius,1804,Yes,Central America,Present,Present,http://www.antwiki.org/wiki/Solenopsis geminata,NA,NA,NA,,NA,121131,1,Hymenoptera
Myrmicinae,Solenopsidini,Solenopsis,Solenopsis_globularia,NA,NA,NA,NA,NA,KT200424,NA,NA,NA,NA,NA,NA,Formicidae,globularia,1,1,,NA,(Smith, F., 1858),Smith, F.,1858,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Solenopsis globularia,NA,NA,NA,,NA,176592,1,Hymenoptera
Myrmicinae,Solenopsidini,Solenopsis,Solenopsis_invicta,AY334566,DQ353687,DQ352941,DQ353039,NA,DQ353293,NA,KP730149,NA,KP860425,NA,NA,Formicidae,invicta,1,1,saevissima,NA,Buren, 1972,Buren,1972,,United States,Present,Present,http://www.antwiki.org/wiki/Solenopsis invicta,NA,NA,NA,,NA,13686,1,Hymenoptera
Myrmicinae,Solenopsidini,Solenopsis,Solenopsis_molesta,EF012934,EF013062,EF013190,MG458937,EF013642,MG458950,EF013348,EF013510,KJ861089,KJ860855,KJ861697,KJ860426,Formicidae,molesta,0,1,,NA,(Say, 1836),Say,1836,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Solenopsis molesta,NA,NA,NA,,NA,411725,1,Hymenoptera
Myrmicinae,Solenopsidini,Solenopsis,Solenopsis_xyloni,EF012935,EF013063,EF013191,JQ742896,EF013643,DQ153015,EF013349,EF013511,KJ861092,KJ860858,KJ861700,KJ860429,Formicidae,xyloni,0,1,geminata,NA,McCook, 1879,McCook,1879,,United States,Present,,http://www.antwiki.org/wiki/Solenopsis xyloni,NA,NA,NA,,NA,310435,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_ashmeadi,NA,NA,NA,KJ920651,KP860353,KP730068,NA,KP730150,NA,KJ920551,NA,NA,Formicidae,ashmeadi,1,1,,NA,(Emery, 1895),Emery,1895,Yes,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster ashmeadi,NA,NA,NA,,NA,602585,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_carolinensis,NA,NA,NA,MG458941,KP860357,MG458954,NA,KP730154,NA,KP860429,NA,NA,Formicidae,carolinensis,1,1,,NA,Wheeler, W.M., 1915,Wheeler, W.M.,1915,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster carolinensis,NA,NA,NA,,NA,602600,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_flemingi,NA,NA,NA,KJ920657,KJ920622,KJ920522,NA,KJ920587,NA,KJ920555,NA,NA,Formicidae,flemingi,1,1,,NA,Smith, M.R., 1928,Smith, M.R.,1928,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster flemingi,NA,NA,NA,,NA,602632,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_floridana,NA,NA,NA,KP730233,KP860358,KP730073,NA,KP730155,NA,KJ920556,NA,NA,Formicidae,floridana,1,1,,NA,Smith, M.R., 1941,Smith, M.R.,1941,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster floridana,NA,NA,NA,,NA,602633,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_fulva,NA,NA,NA,KP730242,KP860367,KP730082,NA,KP730164,NA,KP860439,NA,NA,Formicidae,fulva,1,1,,NA,Roger, 1863,Roger,1863,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster fulva,NA,NA,NA,,NA,602636,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_lamellidens,NA,NA,NA,KP730244,KP860369,KP730084,NA,KP730166,NA,KP860441,NA,NA,Formicidae,lamellidens,1,1,,NA,Mayr, 1886,Mayr,1886,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster lamellidens,NA,NA,NA,,NA,602667,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_mariae,NA,NA,NA,KP730245,KP860370,KP730085,NA,KP730167,NA,KP860442,NA,NA,Formicidae,mariae,1,1,,NA,Forel, 1886,Forel,1886,,United States,Present,Present,http://www.antwiki.org/wiki/Aphaenogaster mariae,NA,NA,NA,,NA,602676,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_miamiana,NA,NA,NA,KP730247,KP860373,KP730088,NA,KP730170,NA,KP860445,NA,NA,Formicidae,miamiana,1,1,,NA,Wheeler, W.M., 1932,Wheeler, W.M.,1932,,Mexico,Present,,http://www.antwiki.org/wiki/Aphaenogaster miamiana,NA,NA,NA,,NA,602682,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_picea,NA,NA,NA,KP730266,KP860391,KP730106,NA,KP730188,NA,KP860463,NA,NA,Formicidae,picea,0,1,,NA,(Wheeler, W.M., 1908),Wheeler, W.M.,1908,Yes,Canada,Present,,http://www.antwiki.org/wiki/Aphaenogaster picea,NA,NA,NA,,NA,602698,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_rudis,FJ824191,FJ824281,FJ824330,KP730285,KP860412,FJ824413,NA,KP730209,FJ824372,KP860484,NA,NA,Formicidae,rudis,0,1,,NA,Enzmann, J., 1947,Enzmann, J.,1947,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster rudis,NA,NA,NA,,NA,500656,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_tennesseensis,NA,NA,NA,KP730288,KP860415,KR789357,NA,KP730212,NA,KP860487,NA,NA,Formicidae,tennesseensis,1,1,,NA,(Mayr, 1862),Mayr,1862,Yes,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster tennesseensis,NA,NA,NA,,NA,374455,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_treatae,NA,NA,NA,KP730295,KP860420,KM538001,NA,KP730219,NA,NA,NA,NA,Formicidae,treatae,1,1,,NA,Forel, 1886,Forel,1886,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster treatae,NA,NA,NA,,NA,525435,1,Hymenoptera
Myrmicinae,Stenammini,Aphaenogaster,Aphaenogaster_umphreyi,NA,NA,NA,KP730297,KP860422,KP730141,NA,KP730221,NA,KP860492,NA,NA,Formicidae,umphreyi,1,1,,NA,Deyrup & Davis, 1998,Deyrup & Davis,1998,,United States,Present,,http://www.antwiki.org/wiki/Aphaenogaster umphreyi,NA,NA,NA,,NA,602773,1,Hymenoptera
Myrmicinae,Stenammini,Stenamma,Stenamma_brevicorne,NA,NA,NA,JQ742898,NA,KR932939,NA,NA,JQ742530,JQ742586,JQ742786,JQ742842,Formicidae,brevicorne,0,1,,NA,(Mayr, 1886),Mayr,1886,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Stenamma brevicorne,NA,NA,NA,,NA,625348,1,Hymenoptera
Myrmicinae,Stenammini,Stenamma,Stenamma_diecki,NA,JQ742438,JQ742482,JQ742903,JQ742738,JQ742647,NA,JQ742694,JQ742535,JQ742591,JQ742791,JQ742847,Formicidae,diecki,0,1,,NA,Emery, 1895,Emery,1895,,Canada,Present,Present,http://www.antwiki.org/wiki/Stenamma diecki,NA,NA,NA,,NA,625352,1,Hymenoptera
Myrmicinae,Stenammini,Stenamma,Stenamma_foveolocephalum,NA,JQ742442,JQ742486,JQ742909,JQ742742,JQ742653,NA,JQ742698,JQ742541,JQ742597,JQ742797,JQ742853,Formicidae,foveolocephalum,1,1,,NA,Smith, M.R., 1930,Smith, M.R.,1930,,United States,Present,Present,http://www.antwiki.org/wiki/Stenamma foveolocephalum,NA,NA,NA,,NA,625357,1,Hymenoptera
Myrmicinae,Stenammini,Stenamma,Stenamma_impar,NA,JQ742446,JQ742490,JQ742913,JQ742746,JQ742657,NA,JQ742702,JQ742545,JQ742601,JQ742801,JQ742857,Formicidae,impar,0,1,,NA,Forel, 1901,Forel,1901,,United States,Present,Present,http://www.antwiki.org/wiki/Stenamma impar,NA,NA,NA,,NA,625363,1,Hymenoptera
Myrmicinae,Stenammini,Stenamma,Stenamma_meridionale,NA,GQ411006,GQ410997,NA,GQ411012,NA,NA,GQ410988,NA,NA,NA,NA,Formicidae,meridionale,0,1,,NA,Smith, M.R., 1957,Smith, M.R.,1957,,United States,Present,Present,http://www.antwiki.org/wiki/Stenamma meridionale,NA,NA,NA,,NA,625370,1,Hymenoptera
Myrmicinae,Stenammini,Stenamma,Stenamma_schmittii,NA,JQ742472,JQ742516,JQ742939,JQ742772,JQ742683,NA,JQ742728,JQ742571,JQ742627,JQ742827,JQ742883,Formicidae,schmittii,0,1,,NA,Wheeler, W.M., 1903,Wheeler, W.M.,1903,,United States,Present,Present,http://www.antwiki.org/wiki/Stenamma schmittii,NA,NA,NA,,NA,1158934,1,Hymenoptera
Odontophotopsis,Odontophotopsis,Odontophotopsis,Odontophotopsis_sp,DQ353550,DQ353561,NA,DQ353146,NA,NA,NA,NA,NA,NA,NA,NA,Mutillidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Philanthus,Philanthus,Philanthus,Philanthus_sp,DQ353551,DQ353559,DQ352874,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crabronidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Ponerinae,Platythyreini,Platythyrea,Platythyrea_punctata,EF012912,EF013040,DQ352895,DQ353133,EF013620,DQ353357,EF013323,EF013485,MF626181,JX310643,MF626072,MF625963,Formicidae,punctata,1,0,,NA,(Smith, F., 1858),Smith, F.,1858,Yes,Central America,Present,Present,http://www.antwiki.org/wiki/Platythyrea punctata,NA,NA,NA,,NA,77147,1,Hymenoptera
Ponerinae,Ponerini,Anochetus,Anochetus_mayri,DQ353522,DQ353643,DQ352986,KU254486,JN675409,KU504845,NA,NA,NA,JX310574,NA,NA,Formicidae,mayri,1,0,,NA,Emery, 1884,Emery,1884,,Antilles Is,Present,Present,http://www.antwiki.org/wiki/Anochetus mayri,NA,NA,NA,,NA,369091,1,Hymenoptera
Ponerinae,Ponerini,Brachyponera,Brachyponera_chinensis,AB126801,AB126802,NA,JN419156,JN675439,KC685047,NA,NA,NA,JX310616,NA,NA,Formicidae,chinensis,0,1,,NA,(Emery, 1895),Emery,1895,Yes,China,Present,Present,http://www.antwiki.org/wiki/Brachyponera chinensis,NA,NA,NA,common species in litter, would be great to have,NA,NA,1,Hymenoptera
Ponerinae,Ponerini,Brachyponera,Brachyponera_obscurans,NA,MF626096,MF625665,MF625987,MF626205,EF609942,NA,MF625878,MF626143,NA,MF626034,MF625925,Formicidae,obscurans,0,0,,NA,(Walker, 1859),Walker,1859,Yes,Sri Lanka,Present,,http://www.antwiki.org/wiki/Brachyponera obscurans,NA,NA,NA,common species in litter, would be great to have,Alternate for Brachyponera chinensis,2077367,1,Hymenoptera
Ponerinae,Ponerini,Cryptopone,Cryptopone_gilva,DQ353517,DQ353646,DQ352891,MF625988,JN675412,KF370991,NA,MF625879,MF626146,JX310578,MF626037,MF625928,Formicidae,gilva,1,1,,NA,(Roger, 1863),Roger,1863,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Cryptopone gilva,NA,NA,NA,,NA,369117,1,Hymenoptera
Ponerinae,Ponerini,Hypoponera,Hypoponera_inexorata,DQ353526,DQ353624,DQ352974,DQ353129,NA,DQ353332,NA,NA,NA,NA,NA,NA,Formicidae,inexorata,1,1,,NA,(Wheeler, W.M., 1903),Wheeler, W.M.,1903,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Hypoponera inexorata,NA,NA,NA,,NA,369145,1,Hymenoptera
Ponerinae,Ponerini,Hypoponera,Hypoponera_opaciceps,NA,NA,NA,NA,NA,KX053500,NA,NA,NA,NA,NA,NA,Formicidae,opaciceps,1,1,,NA,(Mayr, 1887),Mayr,1887,Yes,Brazil,Present,Present,http://www.antwiki.org/wiki/Hypoponera opaciceps,NA,NA,NA,,NA,610514,1,Hymenoptera
Ponerinae,Ponerini,Hypoponera,Hypoponera_opacior,AY703488,AY703555,AY703689,EU155464,AY703756,EU155427,EF013266,EF013428,KU671659,JX310587,KU671722,KU671785,Formicidae,opacior,1,1,,NA,(Forel, 1893),Forel,1893,Yes,West Indies,Present,Present,http://www.antwiki.org/wiki/Hypoponera opacior,NA,NA,NA,,NA,280466,1,Hymenoptera
Ponerinae,Ponerini,Hypoponera,Hypoponera_punctatissima,NA,EU490436,NA,NA,NA,GU709895,NA,NA,NA,NA,NA,NA,Formicidae,punctatissima,1,0,,NA,(Roger, 1859),Roger,1859,Yes,Germany,Present,Present,http://www.antwiki.org/wiki/Hypoponera punctatissima,NA,NA,NA,,NA,610530,1,Hymenoptera
Ponerinae,Ponerini,Leptogenys,Leptogenys_diminuta,EF012872,EF013000,EF013128,EF013708,EF013580,NA,EF013273,EF013435,MF626168,NA,MF626059,MF625950,Formicidae,diminuta,0,0,,NA,(Smith, F., 1857),Smith, F.,1857,Yes,Myanmar,Present,,http://www.antwiki.org/wiki/Leptogenys diminuta,NA,NA,NA,not important,Alternate for Leptogenys manni,411755,1,Hymenoptera
Ponerinae,Ponerini,Odontomachus,Odontomachus_brunneus,NA,EU155412,NA,EU155467,EU155448,KU504880,NA,NA,NA,NA,NA,NA,Formicidae,brunneus,1,1,,NA,(Patton, 1894),Patton,1894,Yes,United States,Present,,http://www.antwiki.org/wiki/Odontomachus brunneus,NA,NA,NA,,dropped CAD because not aligning well KU504788,486640,1,Hymenoptera
Ponerinae,Ponerini,Odontomachus,Odontomachus_haematodus,NA,EU155416,NA,EU155472,EU155453,KU504888,NA,NA,NA,NA,NA,NA,Formicidae,haematodus,1,0,,NA,(Linnaeus, 1758),Linnaeus,1758,Yes,America meridionali,Present,,http://www.antwiki.org/wiki/Odontomachus haematodus,NA,NA,NA,,dropped CAD because not aligning well KU504796,219798,1,Hymenoptera
Ponerinae,Ponerini,Odontomachus,Odontomachus_relictus,NA,EU155419,NA,EU155475,EU155456,KU504903,NA,NA,NA,NA,NA,NA,Formicidae,relictus,1,0,,NA,Deyrup & Cover, 2004,Deyrup & Cover,2004,,United States,Present,Present,http://www.antwiki.org/wiki/Odontomachus relictus,NA,NA,NA,,dropped CAD because not aligning well KU504810,486646,1,Hymenoptera
Ponerinae,Ponerini,Odontomachus,Odontomachus_ruginodis,NA,EU155421,NA,EU155477,EU155458,KU504906,KU146253,NA,NA,NA,NA,NA,Formicidae,ruginodis,1,0,,NA,Smith, M.R., 1937,Smith, M.R.,1937,,Bahamas,Present,,http://www.antwiki.org/wiki/Odontomachus ruginodis,NA,NA,NA,,dropped CAD because not aligning well KU504812,486647,1,Hymenoptera
Ponerinae,Ponerini,Ponera,Ponera_exotica,NA,NA,NA,NA,NA,GU709779,NA,NA,NA,NA,NA,NA,Formicidae,exotica,1,1,,NA,Smith, M.R., 1962,Smith, M.R.,1962,,United States,Present,Present,http://www.antwiki.org/wiki/Ponera exotica,NA,NA,NA,,NA,616633,1,Hymenoptera
Ponerinae,Ponerini,Ponera,Ponera_pennsylvanica,NA,JQ023553,NA,JN419185,JN675464,KR890935,NA,NA,NA,NA,NA,NA,Formicidae,pennsylvanica,1,1,,NA,Buckley, 1866,Buckley,1866,,United States,Present,Present,http://www.antwiki.org/wiki/Ponera pennsylvanica,NA,NA,NA,,NA,616646,1,Hymenoptera
Ponerinae,Ponerini,Pseudoponera,Pseudoponera_stigma,NA,MF626134,MF625703,MF626025,MF626243,KT783653,NA,MF625916,MF626197,NA,MF626088,MF625979,Formicidae,stigma,1,0,,NA,(Fabricius, 1804),Fabricius,1804,Yes,South America,Present,Present,http://www.antwiki.org/wiki/Pseudoponera stigma,NA,NA,NA,,NA,1720231,1,Hymenoptera
Pristocera,Pristocera,Pristocera,Pristocera_MAD01,EF012921,EF013049,EF013177,EF013757,EF013629,NA,EF013332,EF013494,NA,NA,NA,NA,Bethylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Proceratiinae,Proceratiini,Discothyrea,Discothyrea_testacea,NA,KU671446,KU672070,KU671599,KU671548,NA,NA,KU671497,KU671658,NA,KU671721,KU671784,Formicidae,testacea,1,1,,NA,Roger, 1863,Roger,1863,,United States,Present,Present,http://www.antwiki.org/wiki/Discothyrea testacea,NA,NA,NA,,NA,609323,1,Hymenoptera
Proceratiinae,Proceratiini,Proceratium,Proceratium_avium,NA,MF626126,MF625695,MF626017,MF626235,EF610176,NA,MF625908,MF626188,NA,MF626079,MF625970,Formicidae,avium,0,0,,NA,Brown, 1974,Brown,1974,,Mauritius,Present,Present,http://www.antwiki.org/wiki/Proceratium avium,NA,NA,NA,common species in litter, would be great to have,Alternate for Proceratium crassicorne,443839,1,Hymenoptera
Proceratiinae,Proceratiini,Proceratium,Proceratium_silaceum,NA,MF626127,MF625696,MF626018,MF626236,NA,NA,MF625909,MF626189,NA,MF626080,MF625971,Formicidae,silaceum,1,1,,NA,Roger, 1863,Roger,1863,,United States,Present,Present,http://www.antwiki.org/wiki/Proceratium silaceum,NA,NA,NA,,NA,621628,1,Hymenoptera
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex,Pseudomyrmex_cubaensis,AY703522,AY703589,AY703723,KR828991,KR829364,NA,NA,KR829578,KR829783,KR830198,KR830614,KR830405,Formicidae,cubaensis,1,0,,NA,(Forel, 1901),Forel,1901,Yes,Cuba,Present,Present,http://www.antwiki.org/wiki/Pseudomyrmex cubaensis,NA,NA,NA,,NA,292154,1,Hymenoptera
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex,Pseudomyrmex_ejectus,NA,KR828834,KR829207,KR828999,KR829372,NA,NA,KR829586,KR829791,KR830206,KR830622,KR830413,Formicidae,ejectus,1,1,,NA,(Smith, F., 1858),Smith, F.,1858,Yes,probably Brazil,Present,,http://www.antwiki.org/wiki/Pseudomyrmex ejectus,NA,NA,NA,,NA,600708,1,Hymenoptera
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex,Pseudomyrmex_elongatus,NA,KR828835,KR829208,KR829001,KR829374,KP271181,NA,KR829588,KR829793,KR830208,KR830624,KR830415,Formicidae,elongatus,1,0,,NA,(Mayr, 1870),Mayr,1870,Yes,Colombia,Present,Present,http://www.antwiki.org/wiki/Pseudomyrmex elongatus,NA,NA,NA,,NA,600709,1,Hymenoptera
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex,Pseudomyrmex_gracilis,AY703529,AY703596,AY703730,KR829015,KR829388,FJ436825,EF013340,EF013502,KR829807,KR830222,KR830638,KR830429,Formicidae,gracilis,1,1,,NA,(Fabricius, 1804),Fabricius,1804,Yes,Central America,Present,Present,http://www.antwiki.org/wiki/Pseudomyrmex gracilis,NA,NA,NA,,NA,219809,1,Hymenoptera
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex,Pseudomyrmex_pallidus,AY703538,AY703605,AY703739,KR829047,KR829420,NA,NA,KR829633,KR829839,KR830254,KR830670,KR830461,Formicidae,pallidus,1,1,,NA,(Smith, F., 1855),Smith, F.,1855,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Pseudomyrmex pallidus,NA,NA,NA,,NA,56622,1,Hymenoptera
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex,Pseudomyrmex_seminole,NA,KR828914,KR829287,KR829095,KR829468,NA,NA,KR829681,KR829887,KR830302,KR830718,KR830509,Formicidae,seminole,1,0,,NA,Ward, 1985,Ward,1985,,United States,Present,Present,http://www.antwiki.org/wiki/Pseudomyrmex seminole,NA,NA,NA,,NA,600754,1,Hymenoptera
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex,Pseudomyrmex_simplex,AY703543,AY703610,AY703744,KR829098,KR829471,MF925966,NA,KR829684,KR829890,KR830305,KR830721,KR830512,Formicidae,simplex,1,0,,NA,(Smith, F., 1877),Smith, F.,1877,Yes,Brazil,Present,Present,http://www.antwiki.org/wiki/Pseudomyrmex simplex,NA,NA,NA,,NA,292172,1,Hymenoptera
Sapyga,Sapyga,Sapyga,Sapyga_pumila,EF012931,EF013059,EF013187,EF013767,EF013639,NA,EF013344,EF013506,NA,KC213230,NA,NA,Sapygidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Scolia,Scolia,Scolia,Scolia_verticalis,EF012932,EF013060,EF013188,EF013768,EF013640,GU596820,EF013345,EF013507,NA,NA,NA,NA,Scoliidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Vespula,Vespula,Vespula,Vespula_sp,DQ353547,DQ353565,DQ352992,DQ353143,NA,DQ353368,NA,NA,NA,NA,NA,NA,Vespidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
