"Subfamily","Tribe","Genus","Species","Taxon","FL","GA","SpeciesGroup","Binomial","BinomialAuthority","Subspecies","Trinomial","TrinomialAuthority","Author","Year","ChangedComb","TypeLocalityCountry","Images","Text","Source","DBB_Notes","MPN_Notes","NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","GB"
"Formicinae","Formicini","Formica","dolosa","Formica dolosa",1,1,"",NA,"Buren, 1944","Buren",1944,"","United States","Present","Present","http://www.antwiki.org/wiki/Formica dolosa",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Formicini","Formica","exsectoides","Formica exsectoides",0,1,"",NA,"Forel, 1886","Forel",1886,"","United States","Present","","http://www.antwiki.org/wiki/Formica exsectoides",NA,NA,NA,"",NA,609781,NA,NA,NA,NA,NA,"KT310176",NA,NA,NA,NA,NA,NA,1
"Formicinae","Formicini","Formica","fusca","Formica fusca",0,1,"",NA,"Linnaeus, 1758","Linnaeus",1758,"","Europe","Present","","http://www.antwiki.org/wiki/Formica fusca",NA,NA,NA,"",NA,72779,"FJ824197","FJ824287","FJ824331","LT977331","FJ824464","FJ824419",NA,"AY334415","FJ824368",NA,"LT977209",NA,1
"Formicinae","Formicini","Formica","incerta","Formica incerta",0,1,"",NA,"Buren, 1944","Buren",1944,"","United States","Present","Present","http://www.antwiki.org/wiki/Formica incerta",NA,NA,NA,"",NA,609806,NA,NA,NA,NA,NA,"LT977401",NA,NA,NA,NA,NA,NA,1
"Formicinae","Formicini","Formica","integra","Formica integra",0,1,"rufa",NA,"Nylander, 1856","Nylander",1856,"","United States","Present","","http://www.antwiki.org/wiki/Formica integra",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Formicini","Formica","obscuriventris","Formica obscuriventris",0,1,"rufa",NA,"Mayr, 1870","Mayr",1870,"","United States","Present","","http://www.antwiki.org/wiki/Formica obscuriventris",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Formicini","Formica","pallidefulva","Formica pallidefulva",1,1,"",NA,"Latreille, 1802","Latreille",1802,"","United States","Present","Present","http://www.antwiki.org/wiki/Formica pallidefulva",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Formicini","Formica","subintegra","Formica subintegra",0,1,"",NA,"Wheeler, W.M., 1908","Wheeler, W.M.",1908,"","United States","Present","","http://www.antwiki.org/wiki/Formica subintegra",NA,NA,NA,"",NA,609893,NA,NA,NA,"KP730224",NA,"KP730063",NA,"KP730145",NA,NA,NA,NA,1
"Formicinae","Formicini","Formica","subsericea","Formica subsericea",1,1,"",NA,"Say, 1836","Say",1836,"","United States","Present","","http://www.antwiki.org/wiki/Formica subsericea",NA,NA,NA,"",NA,354281,NA,"DQ226040",NA,"KP730225","KP860351","KP730064",NA,"KP730146",NA,NA,NA,NA,1
"Formicinae","Formicini","Polyergus","longicornis","Polyergus longicornis",1,1,"lucidus",NA,"Smith, M.R., 1947","Smith, M.R.",1947,"","United States","Present","Present","http://www.antwiki.org/wiki/Polyergus longicornis",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
