species,n_records,Notes,,,CurrentName,,Notes
Temnothorax allardycei,7,,,,Temnothorax allardycei,,
Temnothorax bradleyi,12,,,,Temnothorax bradleyi,,
Temnothorax curvispinosus,11,,,,Temnothorax curvispinosus,,
Temnothorax palustris,10,,,,Temnothorax palustris,,
Temnothorax pergandei,66,,,,Temnothorax pergandei,,
Temnothorax schaumii,12,,,,Temnothorax schaumii,,
Temnothorax smithi,3,,,,Temnothorax smithi,,
Temnothorax texanus,28,,,,Temnothorax texanus,,
Temnothorax torrei,6,,,,Temnothorax torrei,,
Tetramorium bicarinatum,43,,,,Tetramorium bicarinatum,,
Tetramorium caldarium,47,,,,Tetramorium caldarium,,
Tetramorium lanuginosum,1,,,,Tetramorium lanuginosum,,
Tetramorium simillimum,43,,,,Tetramorium simillimum,,
Trachymyrmex jamaicensis,7,,,,Trachymyrmex jamaicensis,,
Trachymyrmex septentrionalis,181,,,,Trachymyrmex septentrionalis,,
Wasmannia auropunctata,108,,,,Wasmannia auropunctata,,
Xenomyrmex floridanus,36,,,,Xenomyrmex floridanus,,
Brachymyrmex Species B,2,,,,Brachymyrmex Species B,,
Forelius sp. A,4,,,,Forelius sp. A,,
Myrmecina Sp. A,1,,,,Myrmecina Sp. A,,
Camponotus snelllingi,1,Typo,Camponotus snellingi,,Camponotus snelllingi,,
