"NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","Taxon","Genus","Tribe","Subfamily","Family"
"609364","FJ939757","FJ939789","FJ939821","FJ940025","FJ939992","KU187247","FJ940057","FJ939960","FJ939856","FJ939910",NA,NA,"Dolichoderus decollatus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609366",NA,NA,NA,NA,"KU232991","KU187252",NA,NA,NA,NA,NA,NA,"Dolichoderus diversus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609370","FJ939758","FJ939790","FJ939822","FJ940026","FJ939993",NA,"FJ940058","FJ939961","FJ939857","FJ939911",NA,NA,"Dolichoderus erectilobus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609372",NA,NA,NA,NA,NA,"JQ913596",NA,NA,NA,NA,NA,NA,"Dolichoderus feae","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609375",NA,NA,NA,NA,NA,"JQ913591",NA,NA,NA,NA,NA,NA,"Dolichoderus flatidorsus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609379",NA,NA,NA,NA,NA,"MF926049",NA,NA,NA,NA,NA,NA,"Dolichoderus germaini","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609380",NA,NA,NA,NA,NA,"KY441977",NA,NA,NA,NA,NA,NA,"Dolichoderus ghilianii","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"369125","DQ353500","DQ353570","DQ352930","DQ353069","KU232984","DQ353396",NA,NA,NA,NA,NA,NA,"Dolichoderus imitator","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609388",NA,NA,NA,NA,NA,"JQ913593",NA,NA,NA,NA,NA,NA,"Dolichoderus incisus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609391",NA,NA,NA,NA,NA,"KT783644",NA,NA,NA,NA,NA,NA,"Dolichoderus inermis","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609396","FJ939759","FJ939791","FJ939823","FJ940027","FJ939994",NA,"FJ940059","FJ939962","FJ939858","FJ939912",NA,NA,"Dolichoderus lamellosus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609397",NA,NA,NA,NA,"KU232993","KU187253",NA,NA,NA,NA,NA,NA,"Dolichoderus laminatus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"121501",NA,NA,NA,NA,"KU232990","MF925909",NA,NA,NA,NA,NA,NA,"Dolichoderus lutosus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609406",NA,NA,NA,NA,NA,"KR928949",NA,NA,NA,NA,NA,NA,"Dolichoderus mariae","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609424",NA,NA,NA,NA,NA,"JQ913598",NA,NA,NA,NA,NA,NA,"Dolichoderus pilosus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609426","FJ939760","FJ939792","FJ939824","KR829181","KR829554",NA,"FJ940060","FJ939963","FJ939859","FJ939913","KJ523685","KJ523602","Dolichoderus pustulatus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609427",NA,NA,NA,NA,"KU232989","KU187255",NA,NA,NA,NA,NA,NA,"Dolichoderus quadridenticulatus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609428",NA,NA,NA,NA,NA,"KT844626",NA,NA,NA,NA,NA,NA,"Dolichoderus quadripunctatus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609433",NA,NA,NA,NA,NA,"JQ913594",NA,NA,NA,NA,NA,NA,"Dolichoderus rugocapitus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609434",NA,NA,NA,NA,"KU232987","KU187248",NA,NA,NA,NA,NA,NA,"Dolichoderus rugosus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"411747","EF012860",NA,"EF013116","EF013696","EF013568",NA,"EF013254","EF013416","FJ939860","FJ939914",NA,NA,"Dolichoderus scabridus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
